{NN_}{VBD_}	sup=81
{NN_ pirate}{JJ_}	sup=2
{NN_ fight}{NN_ end}{days.}{JJ_}	sup=2
{NN_ fight}{NN_ huntmaster}	sup=2
{NN_ ride}{NN_ huntmaster}	sup=2
{NN_ ship}{JJ_}{NN_}	sup=2
{NN_ ship}{VBZ_}	sup=2
{NN_ fire}{cannon VBZ_}{NN_ storm}{NNS_ wall}	sup=2
{NN_ day}{NN_}{NN_}	sup=2
{NN_ day}{VBP_}	sup=2
{NN_ cry}	sup=2
{NN_ sail}{NN_ battle}{NN_ glory}{NN_ metal}	sup=2
{NN_ death}{NN_ mast}	sup=2
{NN_ darkness}{come VBD_}	sup=2
{NN_ slaying}{NNS_ poseur}{VBP_ stand}{NN_ way}	sup=2
{NN_ fate}{RB_ late}	sup=2
{NN_ fate}{await VBZ_}{NNS_ vessel}{NN_ circle}{NN_ round}	sup=2
{NN_ die}{NN_ huntmaster}	sup=2
{NN_ tonight}	sup=2
{NN_ search}{NN_}{NN_}{NN_}	sup=2
{NN_ cause}{NN_}{JJ_}{NN_}	sup=2
{NN_ life}{JJ_}	sup=2
{NN_ life}{VBP_}	sup=2
{NN_ nothing}{VB_ take}{RB_ away}	sup=2
{NN_ drunk}	sup=2
{NN_ lad}{VB_}	sup=2
{NN_ hell}{NN_}	sup=2
{NN_ end}{come}	sup=2
{NN_ end}{RB_}	sup=2
{NN_ port}	sup=2
{NN_ shadow}	sup=2
{NN_ misery}{NN_ slaughter}{VBD_ leave}{NN_ burning}{NN_ wake}	sup=2
{NN_ law}	sup=2
{NN_ leave}	sup=2
{NN_ crash}{NN_}	sup=2
{NN_ band}	sup=2
{NN_ justice}	sup=2
{NN_ honour}{VBD_}	sup=2
{NN_ truth}	sup=2
{NN_ head}{NN_ tavern}{NN_ drink}	sup=2
{NN_ til}{NN_}{NN_}	sup=2
{NN_ man}{JJ_}	sup=2
{NN_ man}{know}	sup=2
{NN_ tie}{NN_ rope}	sup=2
{NN_ light}{VBZ_}	sup=2
{NN_ crew}{VBD_ set}{NN_}	sup=2
{NN_ deck}	sup=2
{NN_ o}{NN_ flower}{NN_ scotland}{VBP_ see}	sup=2
{NN_ send}{NNS_ depth}	sup=2
{NN_ drag}{IN_ underneath}{NN_ ship}	sup=2
{NN_ bottle}{NN_ rum}{NN_ yo}{NN_ ho}{NN_ ho}	sup=2
{NN_ place}{NN_}	sup=2
{NN_ money}	sup=2
{NN_ need}{NN_ sleep}{NN_ rest}	sup=2
