{NN_}{VBD_}	sup=81
{CD_}{NN_}{VBP_}	sup=2
{CD_}{NN_ day}	sup=2
{CD_}{NNS_}{NN_}{NN_}	sup=2
{CD_}{VBN_}	sup=2
{CD_ one}{JJ_ last}{NN_ battle}{NN_ sailor}{JJ_ lonely}{NN_ war}	sup=2
{CD_ three}{NNS_}{NN_}	sup=2
{last}{NN_}{MD_ would}{VB_}	sup=2
{ship}{JJ_ many}	sup=2
{cannon}{fire}	sup=2
{take}{NN_}{NN_}	sup=2
{take}{NN_ share}	sup=2
{take}{JJ_}{JJ_}{NN_}	sup=2
{take}{VBP_}	sup=2
{take VBG_}{NN_}	sup=2
{day}{JJ_}	sup=2
{day}{VBP_}{NNS_}	sup=2
{hear}{NNS_}{NN_}{NN_}	sup=2
{VBG_}{NN_}{NN_}{NNS_}	sup=2
{VBG_}{NN_}{NN_}{VBD_}	sup=2
{VBG_}{NN_ wood}	sup=2
{VBG_}{NNS_}{VBG_}	sup=2
{VBG_}{time}	sup=2
{VBG_}{RB_}{NN_}	sup=2
{VBG_}{go}	sup=2
{VBG_}{VBG_}{NN_}	sup=2
{VBG_ run}{NNS_}	sup=2
{VBG_ look}{NN_}	sup=2
{VBG_ count}{NNS_ hour}{NN_ til}{NN_ die}	sup=2
{many}{VBN_}	sup=2
{know}{NN_}{RB_}	sup=2
{know}{NN_}{VBZ_}	sup=2
{know}{NN_}{us PP_}	sup=2
{know}{JJ_}{NN_}{NN_}	sup=2
{know}{VBD_}	sup=2
{VBZ_}{NN_ barrel}{NN_}	sup=2
{VBZ_}{VBN_}{NN_}	sup=2
{VBZ_}{man}	sup=2
{VBZ_ lead}{us PP_}{NN_ destiny}	sup=2
{VBZ_ live}	sup=2
{VBZ_ lie}{NN_}{NN_}	sup=2
{dead}{NNS_}{NN_}	sup=2
{face}{NN_}{NN_}	sup=2
{scream}{NNS_ ear}	sup=2
{run}{NN_}{NN_}{VBD_}	sup=2
{tonight}{NN_}	sup=2
{life}{VB_}	sup=2
{get}{NNS_}	sup=2
{lad}{VBP_}{NN_}	sup=2
{barrel}{NN_}{NN_}	sup=2
{barrel}{NN_}{NNS_}	sup=2
{whisper}{JJ_}{NN_}	sup=2
{sword}{NN_}{NN_}	sup=2
{make}{RB_}	sup=2
{swear}{JJ_ deadly}{NN_}	sup=2
{bad JJR_}	sup=2
{JJR_}{NN_}	sup=2
{say}{VBN_ do}	sup=2
{yet}{NNS_}{VBD_}{NNS_}	sup=2
{yet}{VB_}	sup=2
{yet}{RB_ still}	sup=2
{live}{JJ_}	sup=2
{live}{man}	sup=2
{call}{NNS_}{VBD_}	sup=2
{leave}{NNS_}	sup=2
{leave}{JJ_}	sup=2
{leave}{RB_ behind}	sup=2
{night}{VBP_}{JJ_}	sup=2
{prepare}{NN_}	sup=2
{accuse}	sup=2
{hand}{NN_}{NNS_}	sup=2
{rest}{JJ_ dead}	sup=2
{find}{NN_}{JJ_}	sup=2
{man}{JJ_}{NN_}	sup=2
{man}{know}{NN_}	sup=2
{won}	sup=2
{tie}{NN_}{NN_}	sup=2
{d}{NN_}{NN_}	sup=2
{d SYM_}{RB_}	sup=2
{d SYM_}{port}{NN_}	sup=2
{avenge}	sup=2
{deserve}	sup=2
{first}{let}{NN_}	sup=2
{crew}{JJ_}	sup=2
{lie}{NN_}{NN_}{NN_}	sup=2
{lie}{JJ_}{NN_}{NN_}	sup=2
{lay}	sup=2
{er}	sup=2
{rise}	sup=2
{tell}{NN_}	sup=2
{scoundrel}	sup=2
{sin}{RB_}	sup=2
{need}{VB_}	sup=2
{legend}{speak}{NN_}	sup=2
{creature}{NN_}	sup=2
{bring}{back RB_}	sup=2
{fall}{JJ_}{NN_}	sup=2
{wind}{VBD_}	sup=2
{great}{NN_}{NN_}	sup=2
{loot}	sup=2
{revenge}	sup=2
{grab}{NN_}	sup=2
{drink}{much}	sup=2
{show}{VBP_}{NN_}	sup=2
{show}{map}{NN_}	sup=2
{map}{JJ_}	sup=2
{map}{VBN_}	sup=2
{blind}	sup=2
{give}{VBP_}{NN_}	sup=2
{give}{map}{NN_}	sup=2
{though}{NN_}	sup=2
{heart}{VBN_}	sup=2
{oh UH_}{RB_}	sup=2
{UH_}{NN_}{VB_}	sup=2
{stare}{NN_}	sup=2
{wife}	sup=2
{path}	sup=2
{wonder}	sup=2
{dream}	sup=2
{song}{NNS_}	sup=2
{reason}{VBD_}	sup=2
{JJ_}{NN_}{NN_}	sup=82
{NN_}{NN_}{NN_}{NN_ side}	sup=3
{NN_}{NN_}{NN_ land}	sup=3
{NN_}{NN_}{NN_ fight}	sup=3
{NN_}{NN_}{NN_ hand}	sup=3
{NN_}{NN_}{NN_ rest}	sup=3
{NN_}{NN_}{NN_ glory}	sup=3
{NN_}{NN_}{NNS_}{NN_ side}	sup=3
{NN_}{NN_}{NNS_}{VBP_}	sup=3
{NN_}{NN_}{NNS_ eye}	sup=3
{NN_}{NN_}{JJ_}{NNS_ land}	sup=3
{NN_}{NN_}{come}{NN_}	sup=3
{NN_}{NN_}{VBP_}{JJ_}	sup=3
{NN_}{NN_}{RB_}{know}	sup=3
{NN_}{NN_}{VBZ_}{NN_}	sup=3
{NN_}{NN_}{get}	sup=3
{NN_}{NN_}{man}	sup=3
{NN_}{NN_}{tale}	sup=3
{NN_}{NN_ destiny}{hand}	sup=3
{NN_}{NN_ ship}	sup=3
{NN_}{NN_ fire}	sup=3
{NN_}{NN_ fear}	sup=3
{NN_}{NN_ slaughter}	sup=3
{NN_}{NN_ life}	sup=3
{NN_}{NN_ hell}	sup=3
{NN_}{NN_ man}	sup=3
{NN_}{NN_ name}{NN_}	sup=3
{NN_}{NN_ sailor}{NN_}	sup=3
{NN_}{NN_ close}	sup=3
{NN_}{NN_ blood}{NN_}	sup=3
{NN_}{NN_ tavern}	sup=3
{NN_}{NN_ tale}	sup=3
{NN_}{NN_ power}	sup=3
{NN_}{NN_ side}{NN_}	sup=3
{NN_}{NNS_}{VBN_}	sup=3
{NN_}{NNS_}{VBP_}{NNS_}	sup=3
{NN_}{NNS_}{VBP_}{JJ_}	sup=3
{NN_}{NNS_}{MD_}{VB_}	sup=3
{NN_}{NNS_ cannon}	sup=3
{NN_}{NNS_ wall}	sup=3
{NN_}{NNS_ hand}	sup=3
{NN_}{JJ_}{VBP_}	sup=3
{NN_}{JJ_ many}{NNS_}	sup=3
{NN_}{JJ_ old}	sup=3
{NN_}{come}{NN_}{NN_}	sup=3
{NN_}{come VBP_}{NN_}	sup=3
{NN_}{come VBP_}{VB_}	sup=3
{NN_}{come VBZ_}{NN_}	sup=3
{NN_}{VBD_}{IN_}	sup=3
{NN_}{VBD_}{VBN_}	sup=3
{NN_}{VBD_}{sail}	sup=3
{NN_}{VBD_ stand}	sup=3
{NN_}{VBD_ set}{NN_}	sup=3
{NN_}{IN_}{ship}	sup=3
{NN_}{VB_}{JJ_}{NNS_}	sup=3
{NN_}{VB_ take}{RB_}	sup=3
{NN_}{VB_ ignore}	sup=3
{NN_}{strike}	sup=3
{NN_}{VBP_}{NN_}{NN_}	sup=3
{NN_}{RB_}{JJ_}	sup=3
{NN_}{RB_ never}	sup=3
{NN_}{RB_ ever}	sup=3
{NN_}{RB_ away}	sup=3
{NN_}{RB_ long}	sup=3
{NN_}{CD_}	sup=3
{NN_}{cannon}{NNS_}	sup=3
{NN_}{know}{NN_}	sup=3
{NN_}{VBZ_}{JJ_}{NN_}{NN_}	sup=3
{NN_}{VBZ_}{VB_}	sup=3
{NN_}{VBZ_}{RB_}	sup=3
{NN_}{fail}	sup=3
{NN_}{rage}{NNS_}	sup=3
{NN_}{mind}	sup=3
{NN_}{draw}	sup=3
{NN_}{say}	sup=3
{NN_}{return}	sup=3
{NN_}{leave}	sup=3
{NN_}{head}	sup=3
{NN_}{ocean}	sup=3
{NN_}{vessel}	sup=3
{NN_}{cutlass}{NN_}	sup=3
{NN_}{do}	sup=3
{NN_}{drink}	sup=3
{NN_}{begin}	sup=3
{NN_}{days.}{JJ_}	sup=3
{NN_ viking}{NNS_ god}{VBD_ win}{VB_ save}	sup=3
{NN_ quest}{JJ_}	sup=3
{NN_ quest}{VBG_}	sup=3
{NN_ time}{come}{NN_}	sup=3
{NN_ time}{come}{VB_}	sup=3
{NN_ gold}{NN_}	sup=3
{NN_ destiny}{JJ_ last}	sup=3
{NN_ infamy}{NN_ plunder}{NN_ ride}	sup=3
{NN_ ride}{NNS_}{NN_}	sup=3
{NN_ ship}{NN_}	sup=3
{NN_ mercy}{NN_}	sup=3
{NN_ sail}{NN_}{NN_}	sup=3
{NN_ sail}{JJ_}{NN_}	sup=3
{NN_ sail}{JJ_}{land}	sup=3
{NN_ darkness}	sup=3
{NN_ slaying}{NN_}	sup=3
{NN_ stand}{NNS_ gallows}	sup=3
{NN_ fate}{NNS_}	sup=3
{NN_ fear}{VBP_ look}{back RB_}{NN_ afterlife}{await VBZ_}	sup=3
{NN_ die}{NN_}	sup=3
{NN_ cause}{NN_}{JJ_}	sup=3
{NN_ life}{NN_}	sup=3
{NN_ nothing}{VB_}	sup=3
{NN_ vengeance}	sup=3
{NN_ curse}{captain NN_}{NN_ morgan}{VBD_ lead}{us PP_}{NN_ fate}	sup=3
{NN_ sunrise}{NN_ dance}{JJ_ hempen}{NN_ jig}	sup=3
{NN_ misery}{NN_}{NN_ burning}{NN_}	sup=3
{NN_ honour}	sup=3
{NN_ man}{NN_}{NN_}	sup=3
{NN_ light}	sup=3
{NN_ crew}{VBD_}{NN_}	sup=3
{NN_ burn}{NN_}	sup=3
{NN_ sailor}{JJ_}	sup=3
{NN_ o}{NN_}{NN_}	sup=3
{NN_ bottle}{NN_ rum}	sup=3
{NN_ sin}	sup=3
{NN_ place}	sup=3
{NN_ none}{RB_}	sup=3
{NN_ mouth}{NN_ burning}{NN_ flame}	sup=3
{NN_ sky}{NN_}	sup=3
{NN_ monkey}	sup=3
{NN_ midget}{VBD_ see}{NN_ pirate}{NN_ code}	sup=3
{NN_ midget}{VBD_ see}{JJ_ deadly}{NN_ fate}	sup=3
{NN_ tavern}{NN_}	sup=3
{NN_ city}	sup=3
{NN_ drink}{NNS_}	sup=3
{NN_ drink}{RB_}	sup=3
{NN_ tomorrow}	sup=3
{NN_ tankard}{NN_ ale}	sup=3
{NN_ show}{NN_}{NN_}	sup=3
{NN_ map}	sup=3
{NN_ lust}{NN_}	sup=3
{NN_ wealth}	sup=3
{NN_ power}{MD_}	sup=3
{NN_ steel}	sup=3
{NN_ dawn}{NN_ sun}	sup=3
{NN_ song}	sup=3
{NN_ reign}{NN_}	sup=3
{NN_ hail}{NN_ huntmaster}	sup=3
{NN_ party}{NN_ night}	sup=3
{viking NNS_}{NN_}	sup=3
{NNS_}{NN_}{NN_}{NN_}	sup=3
{NNS_}{NN_}{VBP_}	sup=3
{NNS_}{NN_ time}	sup=3
{NNS_}{NN_ fire}	sup=3
{NNS_}{NNS_}{NNS_}	sup=3
{NNS_}{VBD_}{NN_}{NN_}	sup=3
{NNS_}{VBD_}{NNS_}{VBD_}{NN_}	sup=3
{NNS_}{VBD_}{NNS_ sea}	sup=3
{NNS_}{VBN_}{NNS_}	sup=3
{NNS_}{VBP_ stand}{NN_}	sup=3
{NNS_}{RB_}{NNS_}	sup=3
{NNS_}{RB_}{VBN_}	sup=3
{NNS_}{MD_}{JJ_}	sup=3
{NNS_}{MD_ could}	sup=3
{NNS_}{MD_ would}{VB_}	sup=3
{NNS_}{cannon}	sup=3
{NNS_}{VBG_}{RB_}	sup=3
{NNS_}{get}	sup=3
{NNS_}{draw}	sup=3
{NNS_}{live}	sup=3
{NNS_}{good}{NNS_}	sup=3
{NNS_ shore}	sup=3
{NNS_ time}	sup=3
{NNS_ sea}{NN_}	sup=3
{NNS_ sea}{quest VBP_}{VBN_}	sup=3
{NNS_ sea}{MD_ shall}{VB_ ride}	sup=3
{NNS_ sea}{begin}	sup=3
{NNS_ pirate}{strike VBP_}{starboard JJ_}{NN_ bow}	sup=3
{NNS_ year}{NN_}	sup=3
{NNS_ cannon}{VBG_}	sup=3
{NNS_ day}{NNS_}	sup=3
{NNS_ poseur}	sup=3
{NNS_ sword}{NN_}	sup=3
{NNS_ depth}{NN_}	sup=3
{NNS_ friend}	sup=3
{NNS_ man}{NN_}	sup=3
{NNS_ man}{VBP_}	sup=3
{NNS_ ocean}{NNS_}	sup=3
{NNS_ eye}{VBP_ shine}{IN_ like}{NNS_ ray}{NN_ morning}	sup=3
{NNS_ wench}{NN_}	sup=3
{NNS_ hour}{NN_}	sup=3
{JJ_}{NN_}{NN_}{JJ_}{NN_}	sup=3
{JJ_}{NN_}{NN_}{come}	sup=3
{JJ_}{NN_}{NN_}{VBN_}	sup=3
{JJ_}{NN_}{NN_ day}	sup=3
{JJ_}{NN_}{NN_ hand}	sup=3
{JJ_}{NN_}{come}{NN_}	sup=3
{JJ_}{NN_}{DT_}{NN_}	sup=3
{JJ_}{NN_}{MD_}{VB_}	sup=3
{JJ_}{NN_}{VBG_}{NN_}	sup=3
{JJ_}{NN_}{VBZ_}{NN_}	sup=3
{JJ_}{NN_}{us PP_}	sup=3
{JJ_}{NN_ land}	sup=3
{JJ_}{NN_ treasure}{NN_}	sup=3
{JJ_}{NN_ treasure}{JJ_}	sup=3
{JJ_}{NN_ die}	sup=3
{JJ_}{NN_ hell}	sup=3
{JJ_}{NN_ chest}	sup=3
{JJ_}{NN_ night}	sup=3
{JJ_}{NN_ inn}	sup=3
{JJ_}{NNS_}{JJ_}{NN_}	sup=3
{JJ_}{NNS_}{RB_ ago}	sup=3
{JJ_}{NNS_}{VBG_}	sup=3
{JJ_}{NNS_ year}{VBD_}	sup=3
{JJ_}{JJ_}{NN_}{NN_}{NN_}{VBD_}	sup=3
{JJ_}{JJ_}{NN_ beer}	sup=3
{JJ_}{JJ_ deadly}{NN_}	sup=3
{JJ_}{JJ_ old}	sup=3
{JJ_}{shore}	sup=3
{JJ_}{IN_}{NN_}	sup=3
{JJ_}{VBN_}{NN_}	sup=3
{JJ_}{VBP_}{NN_}	sup=3
{JJ_}{VBP_}{NNS_}	sup=3
{JJ_}{VBP_}{JJ_}	sup=3
{JJ_}{RB_}{VBN_}	sup=3
{JJ_}{year}{NNS_}	sup=3
{JJ_}{light}	sup=3
{JJ_}{ocean}	sup=3
{JJ_ last}{NN_}{JJ_}	sup=3
{JJ_ cold}{NN_}	sup=3
{JJ_ many}{NNS_}{VBD_}	sup=3
{JJ_ many}{JJ_}	sup=3
{JJ_ many}{year}{VBD_}	sup=3
{JJ_ black}{NN_}{NN_}	sup=3
{JJ_ countless}{NNS_}{NNS_}	sup=3
{JJ_ evil}{NN_}	sup=3
{JJ_ true}{NN_}	sup=3
{JJ_ little}	sup=3
{JJ_ old}{NN_}{NN_}	sup=3
{JJ_ first}{NN_}	sup=3
{JJ_ sound}	sup=3
{JJ_ bastard}{NN_}{NN_}	sup=3
{JJ_ full}{NN_}	sup=3
{JJ_ ol}{NN_}{NN_}	sup=3
{JJ_ endless}{NN_}	sup=3
{JJ_ distant}{NNS_}	sup=3
{attack}	sup=3
{quest}{VBN_ begin}	sup=3
{come}{NN_}{NNS_}	sup=3
{come}{NN_ destiny}	sup=3
{come}{VB_}{NNS_}	sup=3
{come}{RB_}	sup=3
{come VBD_}{NN_}	sup=3
{come VBP_}{VB_}{NN_}	sup=3
{VBD_}{NN_}{VBD_}	sup=3
{VBD_}{NN_}{VB_}	sup=3
{VBD_}{NN_ gold}	sup=3
{VBD_}{NN_ day}	sup=3
{VBD_}{JJ_}{NN_}{NN_}	sup=3
{VBD_}{land}	sup=3
{VBD_}{VBP_}{NN_}	sup=3
{VBD_}{MD_}{VB_}	sup=3
{VBD_}{us PP_}{VBP_}	sup=3
{VBD_}{get}{NN_}	sup=3
{VBD_}{map}{NN_}	sup=3
{VBD_ take}{NN_}	sup=3
{VBD_ take}{NNS_}	sup=3
{VBD_ set}{NN_ sail}	sup=3
{VBD_ make}	sup=3
{VBD_ say}	sup=3
{VBD_ shipwreck}{VB_ cease}	sup=3
{IN_}{NN_ ship}	sup=3
{IN_}{JJ_}{NN_}{NN_}	sup=3
{IN_ beneath}	sup=3
{IN_ like}{JJ_}	sup=3
{DT_}{NN_ day}	sup=3
{time}{VBD_}	sup=3
{land}{NN_}	sup=3
{land}{sea}	sup=3
{sea}{VBD_}	sup=3
{treasure}{NNS_}	sup=3
{hold}{NN_}	sup=3
{VB_}{NN_}{NN_}{VBP_}	sup=3
{VB_}{NN_}{NN_ fall}	sup=3
{VB_}{NN_}{NNS_}{NN_}	sup=3
{VB_}{NN_}{NNS_}{JJ_}	sup=3
{VB_}{NN_}{NNS_ land}	sup=3
{VB_}{NN_ quest}	sup=3
{VB_}{NN_ slaughter}{NN_}	sup=3
{VB_}{NN_ walk}	sup=3
{VB_}{NN_ hell}	sup=3
{VB_}{NN_ name}	sup=3
{VB_}{JJ_}{JJ_}{NN_}	sup=3
{VB_}{JJ_}{land}	sup=3
{VB_}{JJ_}{MD_}{VB_}	sup=3
{VB_}{VB_}{NN_ til}{NN_}	sup=3
{VB_}{VB_}{JJ_}{NN_}	sup=3
{VB_}{VB_ conquer}{NN_}	sup=3
{VB_}{VBP_}{NNS_}	sup=3
{VB_}{VBP_}{JJ_}	sup=3
{VB_}{back RB_}{JJ_}	sup=3
{VB_}{hand}	sup=3
{VB_ take}{NNS_}	sup=3
{VB_ hear}{NN_}{JJ_}	sup=3
{VB_ hear}{NNS_}	sup=3
{VB_ sail}{NNS_ sea}	sup=3
{VB_ sail}{JJ_ endless}{NNS_}	sup=3
{VB_ know}{NN_}	sup=3
{VB_ get}{NN_}{NN_}	sup=3
{VB_ raise}{NN_ pint}{NN_ rum}{VB_ take}{another DT_}{NN_ swig}	sup=3
{VB_ feel}{NN_}{NN_}	sup=3
{VB_ find}	sup=3
{VB_ throw}{NN_ mug}	sup=3
{VB_ give}{NN_}{NN_}	sup=3
{VB_ sing}{NN_}	sup=3
{put VBN_}{NN_ faith}{NN_ odin}{NN_ thor}	sup=3
{put VBN_}{NN_ cannons}{NNS_ whore}	sup=3
{VBN_}{captain NN_}{NN_}	sup=3
{VBN_}{NN_}{NN_}{hand}	sup=3
{VBN_}{NN_}{JJ_}{NNS_}	sup=3
{VBN_}{NN_}{VBD_}{NN_}	sup=3
{VBN_}{NN_ fate}	sup=3
{VBN_}{NN_ die}	sup=3
{VBN_}{NN_ crew}{NNS_}	sup=3
{VBN_}{JJ_}{NNS_ man}	sup=3
{VBN_}{IN_}{NN_}	sup=3
{VBN_}{VB_ get}{JJ_ drunk}	sup=3
{VBN_}{RB_}{NN_}	sup=3
{VBN_}{MD_}{VB_}	sup=3
{VBN_ go}	sup=3
{VBN_ take}	sup=3
{VBN_ set}{NN_ quest}	sup=3
{VBN_ set}{NN_ sail}{quest}{JJ_}	sup=3
{VBN_ chop}{NNS_ limb}{VBP_ become}{NN_ shark}{NN_ bait}	sup=3
{VBN_ chop}{NNS_ piece}	sup=3
{VBN_ rip}{NNS_ shred}	sup=3
{VBN_ shipwreck}{NN_ destiny}	sup=3
{god}{NN_}	sup=3
{VBP_}{NN_ em}	sup=3
{VBP_}{NNS_}{NNS_}	sup=3
{VBP_}{NNS_}{JJ_}	sup=3
{VBP_}{time}	sup=3
{VBP_}{VBN_ begin}	sup=3
{VBP_}{JJS_}{NNS_}	sup=3
{VBP_}{song}	sup=3
{VBP_ say}{JJ_ final}{NNS_ word}{NN_ friend}	sup=3
{back RB_}{NN_ time}{NN_ fight}{NN_ viking}{NN_ foe}	sup=3
{back RB_}{NN_ time}{NN_ voyage}{must MD_}{VB_ go}	sup=3
{back RB_}{JJ_}{NN_}	sup=3
{RB_}{NN_ beer}{NNS_}	sup=3
{RB_}{VB_}{JJ_}	sup=3
{RB_}{VBP_}	sup=3
{RB_}{VBG_}	sup=3
{RB_}{tell}	sup=3
{RB_ still}	sup=3
{RB_ alone}{VB_}	sup=3
{fight}{VBN_}	sup=3
{MD_}{NN_}{NN_}	sup=3
{MD_}{JJ_}{NN_}	sup=3
{MD_}{VB_}{NNS_}{NN_}	sup=3
{MD_}{VB_ take}	sup=3
{MD_}{VB_ think}	sup=3
{MD_ could}{VB_ go}{back RB_}{VB_ make}{NN_ amends}	sup=3
{MD_ may}	sup=3
{MD_ can}{VB_}	sup=3
{go}{JJ_}	sup=3
{six CD_}{CD_ hundred}{NNS_ year}{JJ_ past}	sup=3
{CD_}{NN_}{NN_}{NN_}	sup=3
{CD_ one}{NN_}{JJ_}	sup=3
{CD_ one}{JJ_}{NN_}	sup=3
{ship}{NN_}{NN_}	sup=3
{fire}{NN_}	sup=3
{take}{NN_}{VB_}	sup=3
{take}{JJ_}{NN_}	sup=3
{day}{VBP_}	sup=3
{day}{life}	sup=3
{NP_}	sup=3
{hear}{NNS_}{JJ_}	sup=3
{cry}	sup=3
{VBG_}{NNS_}{NN_ die}	sup=3
{VBG_}{NNS_}{RB_}	sup=3
{VBG_ wait}{NN_ end}	sup=3
{VBG_ search}{NN_ treasure}{NN_ night}	sup=3
{VBG_ look}	sup=3
{VBG_ tear}{NNS_ body}{NN_ limb}{NN_ limb}	sup=3
{VBG_ gonna}{NN_ wish}{NN_ dead}	sup=3
{VBG_ eviscerate}{NN_ whim}	sup=3
{know}{NN_ end}	sup=3
{know}{NNS_}	sup=3
{know}{JJ_}{NN_}	sup=3
{know}{VB_}	sup=3
{know}{day}	sup=3
{VBZ_}{NN_}{NN_}{NN_}	sup=3
{VBZ_}{NNS_}{NN_}	sup=3
{VBZ_}{VBN_}	sup=3
{VBZ_}{us PP_}	sup=3
{VBZ_ say}{NNS_ leg}{must MD_}{VB_ go}	sup=3
{VBZ_ lie}	sup=3
{VBZ_ let}{NN_}{NN_}	sup=3
{PP_}{VB_}	sup=3
{late}	sup=3
{face}	sup=3
{JJS_ good}{NNS_}	sup=3
{run}{NNS_}	sup=3
{run}{VBD_}	sup=3
{tonight}	sup=3
{scotland}	sup=3
{set}{NNS_}	sup=3
{set}{JJ_}{NN_}	sup=3
{set}{VB_ conquer}{JJ_}	sup=3
{life}{VBP_}	sup=3
{get}{VB_}	sup=3
{lad}	sup=3
{sure}{NN_}	sup=3
{sell}	sup=3
{make}{NN_ walk}{NN_ plank}	sup=3
{swear}{NN_}	sup=3
{JJR_}	sup=3
{port}{NN_}	sup=3
{sorrow}	sup=3
{betray}	sup=3
{yet}{NNS_}	sup=3
{live}{NN_ day}	sup=3
{call}{NN_}	sup=3
{leave}{NN_}{NN_}	sup=3
{man}{JJ_}	sup=3
{man}{VBD_}	sup=3
{man}{know}	sup=3
{sit}{NN_}	sup=3
{tie}{NN_}	sup=3
{d SYM_}{kill VB_}{DT_ every}{JJ_ last}{CD_ one}{NNS_ bastard}{NN_ friend}	sup=3
{d SYM_}{VB_ make}{NNS_ mistake}	sup=3
{d SYM_}{VBN_}	sup=3
{RBR_}	sup=3
{lie}{NN_}{NN_}	sup=3
{meet}{NN_}	sup=3
{hill}{NN_}	sup=3
{drag}{NN_}	sup=3
{soul}	sup=3
{speak}	sup=3
{creature}	sup=3
{wind}{blow}	sup=3
{great}{NN_}	sup=3
{damn}	sup=3
{regret}{NN_ day}	sup=3
{heart}{NN_}{NN_}	sup=3
{oh UH_}{VB_ pour}{NN_ slug}	sup=3
{sight}	sup=3
{share}	sup=3
{sing}{song}	sup=3
{sink}	sup=3
{reason}	sup=3
{captain NN_}{NN_ stand}{NN_ bridge}{NN_ sing}	sup=4
{NN_}{captain NN_}{VBD_}	sup=4
{NN_}{NN_}{NN_}{NN_}{NN_}	sup=4
{NN_}{NN_}{NN_}{NNS_}	sup=4
{NN_}{NN_}{NN_}{JJ_}{NN_}	sup=4
{NN_}{NN_}{NN_}{VBD_}{NN_}	sup=4
{NN_}{NN_}{NN_}{RB_}	sup=4
{NN_}{NN_}{NNS_}{VBD_}	sup=4
{NN_}{NN_}{JJ_}{land}	sup=4
{NN_}{NN_}{VBD_}{NN_}{NN_}	sup=4
{NN_}{NN_}{VB_}{NN_}	sup=4
{NN_}{NN_}{VBP_}{NN_}	sup=4
{NN_}{NN_}{foe}	sup=4
{NN_}{NN_}{go}	sup=4
{NN_}{NN_}{know}	sup=4
{NN_}{NN_ gold}	sup=4
{NN_}{NN_ destiny}	sup=4
{NN_}{NN_ day}	sup=4
{NN_}{NN_ sail}	sup=4
{NN_}{NN_ way}	sup=4
{NN_}{NN_ code}	sup=4
{NN_}{NN_ rest}	sup=4
{NN_}{NN_ battle}{NN_}{NN_}	sup=4
{NN_}{NN_ name}	sup=4
{NN_}{NN_ crew}	sup=4
{NN_}{NN_ sun}	sup=4
{NN_}{viking}{NN_}	sup=4
{NN_}{NNS_}{JJ_}{NN_}	sup=4
{NN_}{NNS_}{VBP_}{NN_}	sup=4
{NN_}{NNS_ land}	sup=4
{NN_}{NNS_ god}{VB_}	sup=4
{NN_}{JJ_}{NN_ fate}	sup=4
{NN_}{JJ_}{JJ_}	sup=4
{NN_}{JJ_ dead}	sup=4
{NN_}{come}{VB_}	sup=4
{NN_}{come VBD_}	sup=4
{NN_}{come VBZ_}	sup=4
{NN_}{VBD_}{NN_ pirate}{NN_}	sup=4
{NN_}{VBD_}{JJ_ deadly}{NN_}	sup=4
{NN_}{VBD_}{us PP_}{NN_}	sup=4
{NN_}{VBD_ know}	sup=4
{NN_}{VB_}{JJ_}	sup=4
{NN_}{VB_}{RB_}	sup=4
{NN_}{VB_ go}	sup=4
{NN_}{VB_ take}{NN_}	sup=4
{NN_}{whore}	sup=4
{NN_}{VBP_}{back RB_}	sup=4
{NN_}{RB_}{VBZ_}	sup=4
{NN_}{must MD_}{VB_}	sup=4
{NN_}{MD_}{RB_}	sup=4
{NN_}{MD_ could}{VB_}	sup=4
{NN_}{ship}	sup=4
{NN_}{VBZ_}{NNS_}	sup=4
{NN_}{VBZ_}{JJ_}{NN_}	sup=4
{NN_}{set}{NN_}	sup=4
{NN_}{life}	sup=4
{NN_}{get}{NN_}	sup=4
{NN_}{lie}	sup=4
{NN_}{burn}	sup=4
{NN_}{tale}	sup=4
{NN_ quest}{NN_}	sup=4
{NN_ time}{NN_}{MD_}{VB_}	sup=4
{NN_ time}{NN_ fight}{NN_}{NN_}	sup=4
{NN_ time}{come VBP_}	sup=4
{NN_ ride}{NN_}	sup=4
{NN_ day}{NN_}	sup=4
{NN_ death}{NN_}	sup=4
{NN_ slaying}{NNS_ foe}	sup=4
{NN_ dead}	sup=4
{NN_ fate}{NN_}{NN_}	sup=4
{NN_ fear}{NN_}	sup=4
{NN_ slaughter}{NN_}{NN_}	sup=4
{NN_ cause}	sup=4
{NN_ walk}	sup=4
{NN_ curse}{NN_ curse}	sup=4
{NN_ misery}	sup=4
{NN_ traitor}	sup=4
{NN_ inn}	sup=4
{NN_ name}{NN_}	sup=4
{NN_ terror}{JJ_ high}{NNS_ sea}	sup=4
{NN_ sailor}	sup=4
{NN_ close}	sup=4
{NN_ beast}	sup=4
{NN_ mouth}{NN_}{NN_ flame}	sup=4
{NN_ cresting}{NNS_ wave}	sup=4
{NN_ fall}	sup=4
{NN_ wish}	sup=4
{NN_ nancy}{NN_}{NN_}	sup=4
{NN_ show}{NN_}	sup=4
{NN_ power}{NN_}	sup=4
{NN_ heart}{NN_}	sup=4
{NN_ hail}	sup=4
{NN_ want}{NNS_ wench}	sup=4
{NNS_}{NN_}{JJ_}	sup=4
{NNS_}{NN_ land}	sup=4
{NNS_}{NN_ hell}	sup=4
{NNS_}{NNS_}{VBD_}	sup=4
{NNS_}{NNS_}{VBP_}	sup=4
{NNS_}{NNS_}{RB_}	sup=4
{NNS_}{starboard JJ_}{NN_ bow}	sup=4
{NNS_}{JJ_}{NN_}{NN_}	sup=4
